job_id,industry_id
1218575,14
358267047,137
243731357,44
112576855,31
112576855,34
2264355,89
231010577,22
231010577,48
56924323,51
141969940,80
117675818,13
95428182,100
11009123,50
266825034,104
103254301,99
935210241,9
56482768,100
23221523,9
805229245,14
9615617,142
115639136,44
115639136,128
115639136,46
844454682,44
844454682,128
10998357,32
175485704,6
227832999,44
228003844,40
921716,44
345332937,91
35982263,122
111513530,126
91700727,3202
280496925,68
266566927,44
134286190,48
263583866,14
83789755,3207
136743465,9
258868844,80
258868844,110
121605673,125
121605673,124
705356075,44
658723396,41
634823509,48
103860943,92
857299959,8
133130219,96
69333422,104
229924287,17
445337908,100
