job_id,industry_id
3884428798,82
3884431567,96
3884431568,96
3861704803,96
3884431523,56
3884428894,3208
3884427968,135
3813844724,11
3884428983,135
3884429613,92
3884429625,32
3884431496,135
3884430505,135
3884431558,25
3884431558,24
3884431558,112
3884430590,92
3884430615,86
3884430615,70
3884431562,92
3884429549,135
3884427971,135
3884427990,96
3884427990,97
3884429551,135
3884429609,100
3884429609,131
3884429609,2115
3884431493,135
3884426774,137
3884430508,135
3884426885,59
3884427967,135
3884431497,135
3884431563,48
3884430607,144
3884430507,135
3884430524,135
3884430513,135
3884425974,2353
3884430583,32
3884430608,92
3884427964,135
3884429603,135
3884428970,135
3884430585,96
3884429657,47
3884431637,122
3884430259,96
3884429619,57
3884430597,3210
3884428728,100
3884427963,135
3884429637,43
3884430586,96
3884428984,135
3884429634,144
3884429624,27
3884429624,133
3884429624,34
3884427833,59
3884431593,11
3884429682,4
3884426996,135
3884427965,135
3884429672,298
3884430638,75
3884429660,96
3884430632,93
3884430632,116
3884430632,25
3884424835,43
3884430634,96
3884429608,1737
3884430130,3216
3884428699,3243
3884427871,25
3884431591,6
3884431253,2027
3884429653,147
3884430273,2353
3884431490,135
3884429683,94
3884429683,104
3800272386,96
3884429552,135
3884431542,88
3884431687,96
3884431614,116
3884431614,57
3884431614,25
3884429686,14
3884427691,133
3884428982,135
3884426762,2353
3884431580,4
3884428977,135
3884429722,96
3884431554,137
3884431480,135
3884430726,80
3884426999,135
3884429610,43
3884427957,135
3884430577,2458
3884430614,32
3884429616,137
3884429616,75
3884429616,148
3884429775,13
3884429775,14
3884426652,51
3884431744,3242
3884431744,25
3884430521,135
3884426975,11
3884429777,75
3884429777,59
3884429777,3086
3884430648,55
3884431576,30
3884431576,1594
3884429699,104
3884429699,48
3884428991,135
3884429663,44
3884430601,96
3884431694,69
3884429703,75
3884429684,70
3884429758,137
3884429781,100
3884430673,75
3884430673,1495
3884430628,25
3884430628,54
3884430628,983
3884430781,104
3827945924,96
3884431641,43
3884430616,96
3884430616,2458
3610032286,4
3884429701,9
3884430647,53
3884427693,98
3884429787,17
3884429787,112
3884429787,93
3884431598,34
3884431598,23
3884430741,15
3884428994,48
3884429642,116
3884430751,139
3884430751,124
3884430751,14
3884431706,75
3884429748,48
3884429666,48
3884430549,55
3884431550,22
3884430735,96
3884429864,96
3884429801,69
3884427958,135
3884429902,118
3871144579,143
3884431599,4
3884431654,9
3884430605,32
3844216662,27
3884429636,12
3884430432,25
3884430800,44
3884430512,135
3884429764,96
3884429763,96
3855387504,3202
3884429726,10
3884430807,44
3884430801,96
3884429852,69
3884430816,41
3884430816,43
3884430816,42
3884426925,25
3884429788,19
3884431771,14
3884430701,44
3884431621,43
3884431621,3103
3884430769,17
3884430769,12
3846426461,96
3884430732,116
3795149962,70
3884426920,3198
1218575,14
3884431495,135
3884427746,144
3884429749,77
3795156068,70
3884429705,75
3799458858,100
3884431494,135
3884430793,75
3884430793,1495
3884431121,3
3884430718,100
3830916199,30
3884429879,41
3884429879,43
3884429879,42
3884430958,80
3884424904,3132
2957460032,91
3818306840,100
3884430789,57
3884427966,135
3884429733,14
3884431726,96
3884429790,19
3884430700,41
3884430700,42
3884430909,17
3884430682,69
3884430813,59
3817454364,3205
3884431679,15
3884431679,12
3884431679,2358
3884429830,1737
3884430684,96
358267047,137
3884425580,96
3884429859,44
3884431578,1862
3884430611,27
3884430913,124
3884430913,68
3884430913,14
3884430827,124
3884430827,14
3884430827,13
3884430256,13
3884429809,14
3884430817,41
3884430817,43
3884430817,42
3884429179,3189
3884430691,14
3884431507,135
3863030008,14
3792413736,69
2934066464,148
3842513172,104
3884429892,30
3884431629,2353
3884428980,135
3884422904,14
3884422904,11
3884431723,77
3849949750,19
3845924752,39
3884429620,45
3884429620,129
3884429620,43
3884429747,77
3835324900,44
3884431732,146
3884429717,15
3884429717,12
3884429717,54
3884429714,69
3884430966,96
3884431437,96
3842227398,14
3840584142,80
3857325080,25
3884430774,84
3884429858,44
3884431572,13
3884431572,14
3884431655,41
3884431632,96
3884431728,14
3884430915,42
3877509537,690
3884429878,41
3884429878,43
3884429878,42
3878072014,43
3821689873,3195
3884431643,96
3787503302,100
3884428490,80
3884422761,11
3884430666,96
3884430690,31
3884427334,12
3884430719,100
3884431769,96
3884430657,14
3884430657,2081
3438976411,14
3884430949,4
3884430592,137
3884430592,75
3884430592,148
3884429751,57
3863624365,25
3884429973,69
3729323858,8
3884429786,19
3884431165,43
3884429793,96
3884429793,27
3884429793,3106
3884431709,42
3884431734,43
3857787956,68
3884431645,15
3884431645,17
3884431645,12
3874702220,139
3884431648,75
3869413340,39
3884431566,47
3884429724,147
3884430752,15
3884430752,12
3884430752,17
3018278978,104
3850259262,104
3709615746,47
3736994600,14
3778036844,14
3872255483,67
3828515870,100
3821047961,86
3629278196,11
3699309082,96
3856243244,43
3844026638,148
1448163866,54
1448163866,93
3875471829,19
3687125020,44
243731357,44
3729768983,1999
3844608722,1965
112576855,31
112576855,34
3876264575,1594
3827268681,43
3782812525,27
3555161614,42
3831919828,3222
3835357335,100
2264355,89
231010577,22
231010577,48
3766290342,14
3731389852,7
56924323,51
3858136981,43
3299509053,51
3875041552,17
3678077169,28
2747409392,122
3872290694,24
3547664337,117
3857044719,3231
3638272617,132
3861575250,1594
141969940,80
3486250934,3244
3857386463,96
3822583239,48
3515274431,4
2914254129,102
3841963841,1999
3876572082,86
3863869819,137
3700694895,59
3868417076,99
3844035605,43
3594311833,33
3848960304,4
3821064325,100
3407282046,112
3871631334,96
3635117665,69
3855969867,49
117675818,13
3835806869,8
3835806869,1594
3835806869,96
3841334821,43
3841334821,45
3841334821,46
3533320307,96
3767035869,67
3883216578,104
2826285517,68
95428182,100
3877345234,9
3753758156,138
3710273988,118
3720682554,44
3867568566,96
3808747564,112
3844032378,4
1586552873,43
1586552873,45
1586552873,129
3777016674,68
3426467577,139
3873909733,3200
3880176089,96
3844031840,6
11009123,50
3853719293,3231
3383214611,4
3794986432,96
3659406780,69
3270034794,48
3308438674,74
266825034,104
3851780654,408
3876469865,11
3843103150,3200
3853386067,43
3844019967,147
103254301,99
3870352558,80
3864347111,47
3868384601,4
3805103054,100
3867581937,123
3492110889,124
3874366322,57
3723335242,55
3851131508,6
3662420217,9
3859578144,27
3848297827,99
2735151240,19
3582587683,92
3769036399,44
3787279047,44
3784021865,48
3867234681,137
3878345482,31
3831807497,67
3639866700,4
3639866700,80
3836759104,6
3883403219,24
3769518300,124
3880619804,11
3883686441,26
3867550643,14
3809032639,88
3855465728,57
3882144210,2468
3870709286,3200
3774103540,44
3693083161,50
2920450495,48
935210241,9
3848811947,68
3812809624,2358
3844025327,116
3802339957,11
3864575201,104
3864575201,112
3838150253,104
56482768,100
3840217276,13
3802335735,1862
3831214149,44
3884003641,48
3857818755,8
3844654703,137
3592392532,52
3619548798,3
3619548798,4
3619548798,116
3075721793,50
3826269982,104
3703151811,44
2314566469,9
3762860888,100
3804822096,43
3277232283,144
23221523,9
2404832493,99
3848963986,3231
3784120102,132
2147609789,43
2147609766,104
2147609754,104
2147609929,104
2147609785,104
2147609816,104
2147609712,104
2147609835,104
2147609840,104
2147609774,104
2147609858,104
3882000504,3202
3808471710,44
3832120119,59
805229245,14
3817203807,48
3684991720,124
3862673730,75
3364366864,9
3792233622,48
3742692445,96
3755323506,112
3876925520,3242
3869748264,96
3726764279,90
1129235875,88
3837482218,17
3860843120,34
3860843120,112
3855860744,928
3835703401,23
3184403524,14
3860372966,8
3874965536,121
3814546942,80
3851105711,75
3797460723,50
3379554375,126
3851109061,32
3698445650,124
3297645846,56
3881822529,1862
3854137450,8
3745677818,37
3866844290,3207
3770151266,55
3884004631,25
9615617,142
3819767400,91
3878886873,51
3763494664,14
3774870894,42
3857348297,4
3782409045,96
3876457494,80
3836793450,139
3169712432,96
115639136,44
