job_id,inferred,type
3260455681,0,Paid maternity leave
3260455681,0,Tuition assistance
3260455681,0,Disability insurance
227832999,1,401(k)
3826177405,1,Tuition assistance
3873178671,1,Medical insurance
3873178671,1,Vision insurance
3873178671,1,401(k)
3779260325,1,401(k)
3872015321,1,Medical insurance
3872015321,1,Vision insurance
3872015321,1,Dental insurance
3872015321,1,401(k)
3831190800,1,Vision insurance
3788295344,0,401(k)
3788295344,0,Student loan assistance
3883546874,1,401(k)
3883546874,1,Dental insurance
3883546874,1,Disability insurance
3883546874,1,Medical insurance
3883546874,1,Vision insurance
3880108413,1,Medical insurance
3880108413,1,401(k)
3606634863,1,Vision insurance
3606634863,1,Disability insurance
3838533579,1,401(k)
3862132028,0,Medical insurance
3862132028,0,Vision insurance
3862132028,0,Dental insurance
3862132028,0,401(k)
3747072157,1,401(k)
3787839455,1,401(k)
3787839455,1,Dental insurance
3787839455,1,Medical insurance
3787839455,1,Vision insurance
3845186343,1,401(k)
3845186343,1,Medical insurance
3870701883,0,401(k)
3870701883,0,Medical insurance
3870701883,0,Vision insurance
3870701883,0,Dental insurance
3875735534,1,Disability insurance
3875735534,1,401(k)
3819416106,1,Paid paternity leave
3773070651,1,401(k)
3773070651,1,Vision insurance
3773070651,1,Medical insurance
3838774352,1,Disability insurance
3838774352,1,Tuition assistance
3838774352,1,401(k)
3790001722,1,Pension plan
3790001722,1,Disability insurance
2011147642,1,Medical insurance
2011147642,1,Dental insurance
3832947295,1,Medical insurance
3832947295,1,Dental insurance
3832947295,1,Disability insurance
3832947295,1,401(k)
3832947295,1,Vision insurance
3720358336,0,Medical insurance
3720358336,0,Vision insurance
3720358336,0,Dental insurance
3720358336,0,401(k)
1183148438,1,Medical insurance
3878329666,1,Medical insurance
368586246,1,Vision insurance
368586246,1,401(k)
3844838697,0,Medical insurance
3844838697,0,Vision insurance
3844838697,0,Dental insurance
3844838697,0,401(k)
3844838697,0,Disability insurance
3867763161,0,Medical insurance
3867763161,0,Vision insurance
3867763161,0,Dental insurance
3867763161,0,401(k)
3867763161,0,Tuition assistance
3832103385,1,Dental insurance
3832103385,1,Medical insurance
3837546918,1,401(k)
3871636939,0,Medical insurance
3871636939,0,Vision insurance
3871636939,0,Dental insurance
3871636939,0,401(k)
3868010733,1,Medical insurance
3868010733,1,Dental insurance
3868010733,1,Vision insurance
3868010733,1,401(k)
3863631572,0,Medical insurance
3863631572,0,Vision insurance
3863631572,0,Dental insurance
3863631572,0,401(k)
3863631572,0,Paid maternity leave
3758935273,0,Vision insurance
3758935273,0,Medical insurance
3758935273,0,Dental insurance
111513530,0,Medical insurance
111513530,0,Paid maternity leave
111513530,0,Pension plan
111513530,0,Paid paternity leave
111513530,0,Dental insurance
111513530,0,Vision insurance
3127577086,0,Medical insurance
3127577086,0,Vision insurance
3127577086,0,Dental insurance
3127577086,0,401(k)
3765212611,0,Medical insurance
3765212611,0,Vision insurance
3765212611,0,Dental insurance
3765212611,0,401(k)
3765212611,0,Paid maternity leave
3865179969,1,Vision insurance
3865179969,1,Pension plan
3865179969,1,Disability insurance
3880380418,1,Dental insurance
3880380418,1,Medical insurance
3880380418,1,401(k)
3862682461,0,Medical insurance
3862682461,0,Vision insurance
3862682461,0,Dental insurance
3862682461,0,401(k)
3861743053,1,401(k)
3861743053,1,Medical insurance
3816831972,1,401(k)
3211657373,0,Medical insurance
3211657373,0,Vision insurance
3211657373,0,Dental insurance
3211657373,0,401(k)
3211657373,0,Paid maternity leave
3211657373,0,Commuter benefits
3789379757,0,Medical insurance
3789379757,0,Vision insurance
3789379757,0,Dental insurance
3789379757,0,401(k)
3788980998,0,Medical insurance
3788980998,0,Vision insurance
3788980998,0,Dental insurance
3788980998,0,401(k)
3788980998,0,Tuition assistance
3788980998,0,Disability insurance
3681437990,1,401(k)
3681437990,1,Medical insurance
3681437990,1,Vision insurance
3681437990,1,Dental insurance
3681437990,1,Disability insurance
3177010992,1,Medical insurance
3789402808,0,Medical insurance
3789402808,0,Vision insurance
3789402808,0,Dental insurance
3847143087,0,Medical insurance
3847143087,0,Vision insurance
3847143087,0,Dental insurance
3847143087,0,401(k)
263583866,0,Medical insurance
263583866,0,Vision insurance
263583866,0,Dental insurance
263583866,0,401(k)
263583866,0,Tuition assistance
3830297838,0,Medical insurance
3830297838,0,Vision insurance
3830297838,0,Dental insurance
3830297838,0,Paid maternity leave
3830297838,0,Disability insurance
3830297838,0,Commuter benefits
3830297838,0,Paid paternity leave
3431736996,0,Medical insurance
3431736996,0,Vision insurance
3431736996,0,Dental insurance
3431736996,0,401(k)
3838161045,1,401(k)
3838161045,1,Medical insurance
136743465,0,Medical insurance
3825550267,0,401(k)
